county,town,name,addresses,lon,lat,geoAddress,X.U.505C..U.8ECA..U.5834.,X.U.5EC1..U.6240.,ATM,X.U.5EA7..U.4F4D..U.5340.,ibon.WiFi,OPEN..STORE,X.U.5343..U.79A7..U.8840..U.58D3..U.7AD9.,X.U.51B0..U.584A..U.676F..U.8CA9..U.552E.,X.U.971C..U.6DC7..U.6DCB.,X.U.53F0..U.5851..U.6709..U.6A5F..U.852C..U.83DC.,X.U.7F8E..U.599D.,Mister.Donut.U.751C..U.751C..U.5708.,ibon,X.U.73FE..U.8403..U.8336.,X.U.73FE..U.84B8..U.5730..U.74DC.,X.U.7D71..U.4E00..U.751F..U.6A5F.,OPEN..U.5152..U.7AE5..U.95B1..U.89BD..U.5BA4.,K.Seren,X21TOGO,X.U.70D8..U.57F9..U.574A.,X....CAFE.RESERVE,X.U.535A..U.5BA2..U.4F86.,X.U.7CD6..U.679C..U.5C4B.,X.U.65E5..U.672C.7.ELEVEN.U.9650..U.5B9A.,X.U.570B..U.969B..U.7CBE..U.54C1..U.5C08..U.6AC3.,X.U.7CBE..U.54C1..U.5496..U.5561.,CITY.CAFE.U.6C2E..U.6C23..U.98F2..U.54C1.,X.U.5929..U.7D20..U.5730..U.852C.,X.U.56B4..U.9078..U.7D20..U.6750..U.51B7..U.51CD..U.9BAE..U.7269.,X.U.5149..U.5408..U.5E15..U.5C3C..U.5C3C.,X.U.51B7..U.51CD..U.4EA4..U.8CA8..U.4FBF.,X.U.9152.BAR,X.U.5BF5..U.7269..U.751F..U.6D3B..U.5C08..U.5340.,X.U.9177..U.8056..U.77F3.,X.U.751C..U.9EDE..U.5C08..U.6AC3.
基隆市,中正區,港都,基隆市中正區義二路8號1樓,121.7452965,25.1305965,"1, no. 8, yier rd, zhongzheng district, keelung city, taiwan 202",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA
基隆市,中正區,翔濱,基隆市中正區建國里祥豐街339號,121.7677076,25.1447115,"no. 339, xiangfeng st, zhongzheng district, keelung city, taiwan 202",NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
基隆市,中正區,新財發,基隆市中正區新豐街303巷11弄1號3號1樓,121.7882045,25.1342203,"202, taiwan, keelung city, zhongzheng district, alley 11, lane 303, xinfeng st, 1號3號1樓",NA,NA,1,1,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA
基隆市,中正區,漁港,基隆市中正區中正路672號,121.7676871,25.1514471,"no. 672, zhongzheng rd, zhongzheng district, keelung city, taiwan 202",NA,1,1,1,1,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,1,NA,NA,1,NA,NA,NA,NA
基隆市,中正區,龍騰,基隆市中正區義一路22號24號,121.7454594,25.1321321,"no. 22, yiyi rd, zhongzheng district, keelung city, taiwan 202",NA,1,1,1,1,NA,NA,1,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
基隆市,中正區,豐勝,基隆市中正區中正路322號,121.760896,25.1425137,"no. 322, zhongzheng rd, zhongzheng district, keelung city, taiwan 202",NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
基隆市,中正區,觀山海,基隆市中正區砂子里觀海街49號51號1樓,121.7945895,25.1383926,"1, no. 49, guanhai st, zhongzheng district, keelung city, taiwan 202",NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,1,NA,1,NA,NA
基隆市,七堵區,七堵,基隆市七堵區明德一路174號,121.7144211,25.0979758,"no. 174, mingde 1st rd, qidu district, keelung city, taiwan 206",NA,1,1,1,1,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,1,NA,NA,1,NA,NA,NA,NA
基隆市,七堵區,七堵站,基隆市七堵區東新街2號1樓,121.7138534,25.0930062,"206, taiwan, keelung city, qidu district, dongxin st, 2號1 樓",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA
基隆市,七堵區,六工,基隆市七堵區工建路1之22號1之23號1樓,121.701754,25.091164,"1, no. 126-1, gongjian rd, qidu district, keelung city, taiwan 206",NA,1,1,1,1,NA,NA,1,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,1,NA,NA,1,NA,NA,NA,NA
基隆市,七堵區,巧龍,基隆市七堵區百三街61號,121.6960303,25.0819689,"no. 61, baisan st, qidu district, keelung city, taiwan 206",NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA
基隆市,七堵區,正光,基隆市七堵區自治街9號11號,121.7131278,25.0962819,"no. 9, zizhi st, qidu district, keelung city, taiwan 206",NA,1,1,1,1,NA,NA,1,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA
基隆市,七堵區,永富,基隆市七堵區永富路99號101號103號1樓,121.7122135,25.0984379,"1, no. 99, yongfu rd, qidu district, keelung city, taiwan 206",NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
基隆市,七堵區,華新一,基隆市七堵區華新一路22號26號1樓,121.6700054,25.0875714,"1, no. 22, huaxin 1st rd, qidu district, keelung city, taiwan 206",NA,1,1,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
基隆市,七堵區,新五福,基隆市七堵區福五街80號82號1樓,121.6986646,25.0848413,"1, no. 80, fuwu st, qidu district, keelung city, taiwan 206",NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
基隆市,七堵區,福二,基隆市七堵區福二街157號1樓,121.6958759,25.0843476,"1, no. 157, fuer st, qidu district, keelung city, taiwan 206",NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA
基隆市,七堵區,福聚,基隆市七堵區實踐路286號福二街229號1樓,121.6953072,25.0874214,"1, no. 286, shijian rd, qidu district, keelung city, taiwan 206",NA,1,1,1,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,1,NA,NA,1,NA,NA,NA,NA
基隆市,七堵區,篤勝,基隆市七堵區大德路103號,121.6919786,25.0839658,"no. 103, dade rd, qidu district, keelung city, taiwan 206",NA,1,1,1,NA,1,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,1,NA,NA,NA,1,NA,1,1,1,NA,NA,NA,NA,1,1,1,NA,NA
基隆市,七堵區,篤鑫,基隆市七堵區堵南街22-1號1樓,121.686276,25.0825153,"1, no. 22-1號, dunan st, qidu district, keelung city, taiwan 206",1,1,1,1,1,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA
基隆市,暖暖區,晨曦,基隆市暖暖區東勢街6之52號6之53號1樓,121.7378688,25.098508,"1, no. 6之32號, dongshi st, nuannuan district, keelung city, taiwan 205",NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,1,NA,NA,NA,NA
基隆市,暖暖區,新暖東,基隆市暖暖區暖暖街177號1樓,121.7359885,25.0993604,"1, no. 177, nuannuan st, nuannuan district, keelung city, taiwan 205",NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,1,NA,NA,1,NA,1,NA,NA
基隆市,暖暖區,暖碇,基隆市暖暖區碇內街9號11號,121.7550335,25.0963475,"no. 9, dingnei st, nuannuan district, keelung city, taiwan 205",NA,1,1,1,1,NA,NA,NA,NA,1,1,NA,1,NA,1,1,NA,1,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA
基隆市,暖暖區,暖鑫,基隆市暖暖區暖暖街554號,121.7365064,25.0926751,"no. 554, nuannuan st, nuannuan district, keelung city, taiwan 205",NA,1,1,1,1,NA,NA,1,NA,1,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA
基隆市,暖暖區,源遠,基隆市暖暖區源遠路294號296號298號1樓,121.7583237,25.0993844,"1, no. 294, yuanyuan rd, nuannuan district, keelung city, taiwan 205",NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,1,NA,NA,1,NA,1,NA,NA
基隆市,暖暖區,碇內,基隆市暖暖區源遠路158號160號,121.7489396,25.0982009,"no. 158, yuanyuan rd, nuannuan district, keelung city, taiwan 205",NA,1,1,1,1,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,1,NA,1,NA,NA
基隆市,安樂區,大武崙,基隆市安樂區基金一路381號383號1樓,121.7039683,25.141882,"1, no. 381, jijin 1st rd, anle district, keelung city, taiwan 204",NA,1,1,1,1,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA
基隆市,安樂區,大武嶺,基隆市安樂區大武嶺里基金一路135巷21弄2-1號,121.7096558,25.1401688,"no. 2-1, alley 21, lane 135, jijinyi rd, anle district, keelung city, taiwan 204",NA,NA,1,1,1,NA,NA,1,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,1,NA,NA,1,NA,NA,NA,NA
基隆市,安樂區,安一,基隆市安樂區安一路172及174號,121.7318827,25.1326822,"no. 172, anyi rd, anle district, keelung city, taiwan 204",NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA
基隆市,安樂區,武訓,基隆市安樂區武訓街102號1樓,121.6976494,25.1511697,"1, no. 102, wuxun st, anle district, keelung city, taiwan 204",NA,1,1,1,1,NA,NA,1,NA,NA,1,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA
基隆市,安樂區,武晴,基隆市安樂區基金一路214之17號,121.7090207,25.1422863,"no. 214之6號, jijin 1st rd, anle district, keelung city, taiwan 204",NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA
基隆市,安樂區,基金,基隆市安樂區麥金路197號1樓,121.7216395,25.1208158,"204, taiwan, keelung city, anle district, maijin rd, 197號1樓",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA
基隆市,安樂區,麥金,基隆市安樂區基金三路80號80-1號,121.6957187,25.1566969,"no. 80, jijin 3rd rd, anle district, keelung city, taiwan 204",NA,1,1,1,1,NA,NA,1,NA,NA,1,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,1,NA,NA,1,NA,NA,NA,NA
基隆市,安樂區,新壯觀,基隆市安樂區麥金路64號66號1樓,121.7263651,25.1164366,"204, taiwan, keelung city, anle district, maijin rd, 64號1樓",NA,1,1,1,1,NA,NA,NA,NA,1,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,1,NA,1,1,NA,1,NA,NA
基隆市,安樂區,新和慶,基隆市安樂區中和路166之5號166之6號1樓,121.7182252,25.1490596,"1, no. 166之3, zhonghe rd, zhongshan district, keelung city, taiwan 203",NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA
基隆市,安樂區,新武嶺,基隆市安樂區基金一路168之26號,121.7115223,25.1406553,"no. 168, jijin 1st rd, anle district, keelung city, taiwan 204",NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA
基隆市,安樂區,新金樂,基隆市安樂區麥金路427號,121.7195952,25.1250004,"no. 427, maijin rd, anle district, keelung city, taiwan 204",NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA
基隆市,安樂區,新長基,基隆市安樂區安樂路二段161號,121.7235763,25.1207533,"no. 161, section 2, anle rd, anle district, keelung city, taiwan 204",NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA
基隆市,安樂區,瑞金,基隆市安樂區基金三路75-1號,121.6965634,25.1546638,"no. 75-1, jijin 3rd rd, anle district, keelung city, taiwan 204",NA,1,1,1,1,1,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA
基隆市,安樂區,樂三,基隆市安樂區樂利三街257號259號1樓,121.7157224,25.1267105,"1, no. 257, leli 3rd st, anle district, keelung city, taiwan 204",NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA
基隆市,安樂區,樂添,基隆市安樂區樂利二街62巷291號2樓292號293號1樓,121.7149383,25.1214445,"1, no. 291, lane 62, lelier st, anle district, keelung city, taiwan 204",NA,1,1,1,NA,NA,1,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,1,1,NA,1,NA,1,NA,NA
基隆市,中山區,富華,基隆市中山區中華路9號,121.738584,25.145246,"no. 9, zhonghua rd, zhongshan district, keelung city, taiwan 203",NA,NA,1,1,1,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA
基隆市,中山區,港富,基隆市中山區中華路93號,121.7380211,25.147528,"no. 93, zhonghua rd, zhongshan district, keelung city, taiwan 203",NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA
基隆市,中山區,新大慶,基隆市中山區中和路168巷7弄13號15號1樓,121.7160376,25.1499139,"1, no. 13, alley 7, lane 168, zhonghe rd, zhongshan district, keelung city, taiwan 203",NA,1,1,1,1,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,1,NA,NA,1,NA,NA,NA,NA
基隆市,中山區,聖心,基隆市中山區西定路38號40號,121.7355286,25.132367,"no. 38, xiding rd, zhongshan district, keelung city, taiwan 203",NA,NA,1,1,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA
基隆市,中山區,德欣,基隆市中山區復興路328號之6號之7號1樓,121.7270327,25.1494931,"1, no. 328, fuxing rd, zhongshan district, keelung city, taiwan 203",NA,NA,1,1,1,NA,NA,1,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,NA,NA,NA,1,1,NA,NA,NA,NA
基隆市,中山區,德復,基隆市中山區復興路193號195號197號1樓,121.726218,25.146257,"1, no. 193, fuxing rd, zhongshan district, keelung city, taiwan 203",NA,1,1,1,1,1,NA,1,NA,1,1,1,1,1,1,1,1,1,NA,NA,NA,1,NA,1,1,1,NA,1,NA,1,1,NA,1,NA,1
基隆市,仁愛區,仁五,基隆市仁愛區仁五路63號1樓,121.740107,25.1276609,"200, taiwan, keelung city, ren’ai district, 仁五路63號",NA,NA,1,1,1,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,1,NA,1,NA,NA,NA,NA
基隆市,仁愛區,孝三,基隆市仁愛區孝三路89號91號1樓,121.739488,25.130742,"1, no. 89, xiaosan rd, ren’ai district, keelung city, taiwan 200",NA,1,1,1,1,NA,NA,1,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA
基隆市,仁愛區,忠三,基隆市仁愛區忠三路52之1號54號1樓,121.7388743,25.1296965,"1, no. 52, zhongsan rd, ren’ai district, keelung city, taiwan 200",NA,NA,1,1,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA
基隆市,仁愛區,崁頂,基隆市仁愛區仁四路60號62號1樓,121.7410029,25.1284439,"200, taiwan, keelung city, ren’ai district, rensi rd, 60號62號1樓",NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA
基隆市,仁愛區,基隆,基隆市仁愛區仁二路236號,121.743219,25.129963,"no. 236, rener rd, ren’ai district, keelung city, taiwan 200",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
基隆市,仁愛區,基隆南站,基隆市仁愛區港西街5號1樓,121.7394049,25.1324216,"200, taiwan, keelung city, ren’ai district, gangxi st, 5號1樓",NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
基隆市,仁愛區,港隆,基隆市仁愛區孝四路23號1樓,121.7390218,25.1314456,"1, no. 23, xiaosi rd, ren’ai district, keelung city, taiwan 200",NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA
基隆市,仁愛區,愛六,基隆市仁愛區仁一路281號1樓,121.7472758,25.128421,"200, taiwan, keelung city, ren’ai district, renyi rd, 281號1樓",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,1,NA,1,1,1,1,NA,1
基隆市,仁愛區,愛鑫,基隆市仁愛區愛二路65號,121.7424769,25.1298291,"no. 65, aier rd, ren’ai district, keelung city, taiwan 200",NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA
基隆市,仁愛區,新仁二,基隆市仁愛區仁二路11號13號1樓,121.7506033,25.1273916,"1, no. 11, rener rd, ren’ai district, keelung city, taiwan 200",NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,1,NA,NA,1,NA,1,NA,NA
基隆市,仁愛區,新華成,基隆市仁愛區成功一路115號117號,121.73693,25.1274842,"no. 115, chenggong 1st rd, ren’ai district, keelung city, taiwan 200",NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,1,NA,NA,1,NA,NA,NA,NA
基隆市,仁愛區,新福成,基隆市仁愛區仁二路84號86號1樓,121.7484141,25.1277534,"1, no. 84, rener rd, ren’ai district, keelung city, taiwan 200",NA,1,1,1,1,NA,NA,1,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA
基隆市,仁愛區,新廟口,基隆市仁愛區仁二路228號1樓,121.7437774,25.1295298,"1, no. 228, rener rd, ren’ai district, keelung city, taiwan 200",NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA
基隆市,仁愛區,極上,基隆市仁愛區仁三路66號愛二路54巷10號1樓,121.742702,25.1289152,"1, no. 10, lane 54, aier rd, ren’ai district, keelung city, taiwan 200",NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA
基隆市,仁愛區,極品,"基隆市仁愛區仁三路19號21號1,2樓",121.743741,25.128001,"2, no. 19, rensan rd, ren’ai district, keelung city, taiwan 200",NA,1,1,1,1,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA
