en_address,county,town,name,addresses,停車場,廁所,ATM,座位區,ibon WiFi,OPEN! STORE,千禧血壓站,冰塊杯販售,霜淇淋,台塑有機蔬菜,美妝,Mister Donut甜甜圈,ibon,現萃茶,現蒸地瓜,統一生機,OPEN!兒童閱覽室,K·Seren,21TOGO,烘培坊,!+? CAFE RESERVE,博客來,糖果屋,日本7-ELEVEN限定,國際精品專櫃,精品咖啡,CITY CAFE氮氣飲品,天素地蔬,嚴選素材冷凍鮮物,光合帕尼尼,冷凍交貨便,酒BAR,寵物生活專區,酷聖石,甜點專櫃
"1st floor, No. 8 Yishi Road, Zhongzheng District, Keelung City",基隆市,中正區,港都,基隆市中正區義二路8號1樓,,,1,,,,,,,,,,1,1,1,,,,,,,,,1,1,1,,,,,1,,,,
"No. 339, Xianglifeng Street, Zhongguo District, Zhongzheng District, Keelung City",基隆市,中正區,翔濱,基隆市中正區建國里祥豐街339號,,,,1,1,,,1,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,
"1st Floor, No. 1, No. 1, No. 1, No. 1, Lane, No. 303, Xinfeng Street, Zhongzheng District, Keelung City",基隆市,中正區,新財發,基隆市中正區新豐街303巷11弄1號3號1樓,,,1,1,1,,,,,1,,,1,,,,,,,,,,,1,1,,,,,,1,,1,,
"No. 672 Zhongzheng Road, Zhongzheng District, Keelung City",基隆市,中正區,漁港,基隆市中正區中正路672號,,1,1,1,1,,1,1,,,,,1,,,,,,,,,,,1,1,1,,1,,,1,,,,
"No. 22, Yidi Road, Zhongzheng District, Keelung City",基隆市,中正區,龍騰,基隆市中正區義一路22號24號,,1,1,1,1,,,1,,,,,1,1,1,1,,,,,,,,1,1,,,,,,1,,,,
"No. 322 Zhongzheng Road, Zhongzheng District, Keelung City",基隆市,中正區,豐勝,基隆市中正區中正路322號,,,1,1,1,,,,,,,,1,,,,,,,,,,,1,1,,,,,,1,,,,
"1st floor, No. 51, Guanhai Street No. 49, Lisha Street, Zhongzheng District, Keelung City",基隆市,中正區,觀山海,基隆市中正區砂子里觀海街49號51號1樓,,,1,1,,,,,,,,,1,,1,,,,,,,,,1,1,1,,,,,1,,1,,
"No. 174, Mingde Road, Qishu District, Keelung City",基隆市,七堵區,七堵,基隆市七堵區明德一路174號,,1,1,1,1,,,1,,,,,1,1,,,,,,,,,,1,1,1,,1,,,1,,,,
"1st Floor, No. 2, Dongxin Street, Qidong District, Keelung City",基隆市,七堵區,七堵站,基隆市七堵區東新街2號1樓,,,1,,,,,,,,,,1,,1,,,,,,,,,1,1,1,,1,,,,,,,
"1st Floor, No. 23, No. 23, No. 22, Gongjian Road, Qidong District, Keelung City",基隆市,七堵區,六工,基隆市七堵區工建路1之22號1之23號1樓,,1,1,1,1,,,1,,,,,1,1,1,1,,,,,,,,1,1,1,,1,,,1,,,,
"No. 61, Baisan Street, Qishu District, Keelung City",基隆市,七堵區,巧龍,基隆市七堵區百三街61號,,,1,1,1,,,,,,,,1,,1,,,,,,,,,1,1,1,,,,,1,,,,
"No. 9 11, Autonomous Street, Qishu District, Keelung City",基隆市,七堵區,正光,基隆市七堵區自治街9號11號,,1,1,1,1,,,1,,,,,1,1,,1,,,,,,,,1,1,1,,,,,1,,,,
"1st Floor, No. 103, No. 103, No. 101, Yongfu Road, Qidu District, Keelung City",基隆市,七堵區,永富,基隆市七堵區永富路99號101號103號1樓,,1,1,1,,,,,,,,,1,,1,,,,,,,,,1,1,,,,,,1,,,,
"No. 26, No. 26 Huaxin Road, Huaxin Road, Qidong District, Keelung City",基隆市,七堵區,華新一,基隆市七堵區華新一路22號26號1樓,,1,1,1,,,,,,1,,,1,,,1,,,,,,,,1,1,,,,,,1,,,,
"1st Floor, No. 82, No. 80, Fuwu Street, Qidong District, Keelung City",基隆市,七堵區,新五福,基隆市七堵區福五街80號82號1樓,,1,1,1,1,,,,,,,,1,,,,,,,,,,,1,1,,,,,,1,,,,
"1st Floor, No. 157, Fu Erjie Street, Qidong District, Keelung City",基隆市,七堵區,福二,基隆市七堵區福二街157號1樓,,1,1,1,,,,,,,,,1,,1,,,,,,,,,,1,1,,,,,1,,,,
"1st Floor, No. 229, Fangjie Street, No. 286, Practice Road, Qishu District, Keelung City",基隆市,七堵區,福聚,基隆市七堵區實踐路286號福二街229號1樓,,1,1,1,1,,,1,,,,,1,,,1,,,,,,,,1,1,1,,1,,,1,,,,
"No. 103, Dade Road, Qishu District, Keelung City",基隆市,七堵區,篤勝,基隆市七堵區大德路103號,,1,1,1,,1,,,,,1,,1,,1,,,1,,,,1,,1,1,1,,,,,1,1,1,,
"1st Floor, No. 22-1, No. 22-1, Seven Studi District, Keelung City",基隆市,七堵區,篤鑫,基隆市七堵區堵南街22-1號1樓,1,1,1,1,1,,,1,,,,,1,1,,,,,,,,,,1,1,1,,,,,1,,,,
"No. 53, No. 53, No. 53, No. 52, Dongshi Street, Keelung City, Keelung City",基隆市,暖暖區,晨曦,基隆市暖暖區東勢街6之52號6之53號1樓,,,1,1,,,,,,,,,1,,,,,,,,,,,,1,1,,1,,,1,,,,
"1st Floor, No. 177, Nuan Nuan Street, Keelung City, Keelung City",基隆市,暖暖區,新暖東,基隆市暖暖區暖暖街177號1樓,,,1,1,1,,,,,,,,1,,,1,,,,,,,,1,1,1,,1,,,1,,1,,
"No. 11, No. 9, Nainer Street, Nuannui District, Keelung City",基隆市,暖暖區,暖碇,基隆市暖暖區碇內街9號11號,,1,1,1,1,,,,,1,1,,1,,1,1,,1,,,,1,,1,1,,,,,,1,,1,,
"No. 554, Nuan Nuan Street, Keelung City, Keelung City",基隆市,暖暖區,暖鑫,基隆市暖暖區暖暖街554號,,1,1,1,1,,,1,,1,,,1,1,1,1,,,,,,,,1,1,,,1,,,1,,,,
"1st Floor, No. 298, No. 296, Yuanyuan Road, Nuan Nuan District, Keelung City",基隆市,暖暖區,源遠,基隆市暖暖區源遠路294號296號298號1樓,,1,1,1,1,,,,,,,,1,1,1,1,,,,,,,,1,1,1,,1,,,1,,1,,
"No. 160, No. 158 Yuanyuan Road, Nuan Nuan District, Keelung City",基隆市,暖暖區,碇內,基隆市暖暖區源遠路158號160號,,1,1,1,1,,,1,,,,,1,,1,,,,,,,,,1,1,1,,,,,1,,1,,
"No. 383, No. 383, Fund Road, Anle District, Keelung City",基隆市,安樂區,大武崙,基隆市安樂區基金一路381號383號1樓,,1,1,1,1,,,1,,,,,1,,1,,,,,,,,,1,1,1,,,,,1,,,,
"21 Lane 2-1, Lane 135 Lane 135, Dawu Lingli Fund, Anle District, Keelung City",基隆市,安樂區,大武嶺,基隆市安樂區大武嶺里基金一路135巷21弄2-1號,,,1,1,1,,,1,,,,,1,1,1,,,,,,,,,1,1,1,,1,,,1,,,,
"No. 172 and 174, Anle Road, Anle District, Keelung City",基隆市,安樂區,安一,基隆市安樂區安一路172及174號,,1,1,1,1,,,,,,,,1,,,1,,,,,,,,1,1,1,,,,,1,,,,
"No. 102, Wuxun Street, Anle District, Keelung City",基隆市,安樂區,武訓,基隆市安樂區武訓街102號1樓,,1,1,1,1,,,1,,,1,,1,1,1,1,,,,,,,,1,1,1,,,,,1,,,,
"No. 17, No. 17, Fund Road, Anle District, Keelung City",基隆市,安樂區,武晴,基隆市安樂區基金一路214之17號,,1,1,1,,,,,,,,,1,,1,,,,,,,1,,,1,1,,,,,1,,,,
"1st Floor, No. 197 Maijin Road, Anle District, Keelung City",基隆市,安樂區,基金,基隆市安樂區麥金路197號1樓,,,1,,,,,,,,,,1,,1,,,,,,,,,1,1,,,1,,,1,,,,
"No. 80-1, No. 80-1, Fund 3 Road, Anle District, Keelung City",基隆市,安樂區,麥金,基隆市安樂區基金三路80號80-1號,,1,1,1,1,,,1,,,1,,1,,1,1,,,,,,,,1,1,1,,1,,,1,,,,
"1st floor, No. 66 Maijin Road, Anle District, Keelung City",基隆市,安樂區,新壯觀,基隆市安樂區麥金路64號66號1樓,,1,1,1,1,,,,,1,,,1,1,1,1,,,,,,,,1,1,1,,1,,1,1,,1,,
"1st floor of No. 5, No. 566, 166, Zhonghe Road, Anle District, Keelung City",基隆市,安樂區,新和慶,基隆市安樂區中和路166之5號166之6號1樓,,1,1,1,,,,,,,,,1,1,1,,,,,,,1,,1,1,1,,,,,1,,,,
"No. 26, 168, Fund Road, Anle District, Keelung City",基隆市,安樂區,新武嶺,基隆市安樂區基金一路168之26號,,,1,,1,,,1,,,,,1,,1,,,,,,,,,1,1,1,,,,,1,,,,
"427 Maijin Road, Anle District, Keelung City",基隆市,安樂區,新金樂,基隆市安樂區麥金路427號,,,1,1,1,,,,,,,,1,,1,,,,,,,,,1,1,1,,,,,1,,,,
"No. 161, Anle Road, Anle Road, Anle District, Keelung City",基隆市,安樂區,新長基,基隆市安樂區安樂路二段161號,,,1,,1,,,1,,,,,1,,1,,,,,,,,,1,1,1,,,,,1,,,,
"No. 75-1, Fund 3 Road, Anle District, Keelung City",基隆市,安樂區,瑞金,基隆市安樂區基金三路75-1號,,1,1,1,1,1,,,,,1,,1,,,1,,,,,,,,1,1,1,,,,,1,,,,
"1st floor, No. 259, Le Li Third Street, Anle District, Keelung City",基隆市,安樂區,樂三,基隆市安樂區樂利三街257號259號1樓,,,1,1,,,,,,,,,1,1,1,,,,,,,,,1,1,1,,,,,1,,,,
"1st Floor, No. 293, No. 293 Lane 292, No. 292 Lane 292, Lane 291, Anle District, Keelung City",基隆市,安樂區,樂添,基隆市安樂區樂利二街62巷291號2樓292號293號1樓,,1,1,1,,,1,,,,,,1,1,1,,,,,,,,,1,1,1,,1,1,,1,,1,,
"No. 9 Zhonghua Road, Zhongshan District, Keelung City",基隆市,中山區,富華,基隆市中山區中華路9號,,,1,1,1,,,1,,,,,1,,1,,,,,,,,,1,1,,,1,,,1,,,,
"93 Zhonghua Road, Zhongshan District, Keelung City",基隆市,中山區,港富,基隆市中山區中華路93號,,,1,1,,,,,,,,,1,,1,,,,,,,,,,1,1,,,,,1,,,,
"1st Floor, No. 13, No. 13, No. 138 Lane, No. 168, Zhonghe Road, Zhonghe Road, Keelung City",基隆市,中山區,新大慶,基隆市中山區中和路168巷7弄13號15號1樓,,1,1,1,1,,,1,,,,,1,,1,,,,,,,,,1,1,1,,1,,,1,,,,
"No. 40, Xiding Road, Zhongshan District, Keelung City",基隆市,中山區,聖心,基隆市中山區西定路38號40號,,,1,1,1,,,1,,,,,1,,,,,,,,,,,1,1,1,,,,,1,,,,
"No. 7, No. 6, No. 6, No. 328, No. 328, Zhongshan District, Keelung City",基隆市,中山區,德欣,基隆市中山區復興路328號之6號之7號1樓,,,1,1,1,,,1,,,,,1,1,1,,,,,,,1,,1,1,1,,,,1,1,,,,
"1st Floor, No. 195, No. 195, No. 195, Fuxing Road, Zhongshan District, Keelung City",基隆市,中山區,德復,基隆市中山區復興路193號195號197號1樓,,1,1,1,1,1,,1,,1,1,1,1,1,1,1,1,1,,,,1,,1,1,1,,1,,1,1,,1,,1
"1st Floor, Renwu Road, Renai District, Keelung City",基隆市,仁愛區,仁五,基隆市仁愛區仁五路63號1樓,,,1,1,1,,,1,,1,,,1,,,,,,,,,,,1,1,1,,,1,,1,,,,
"1st Floor, No. 89 Xiaosan Road, Renai District, Keelung City",基隆市,仁愛區,孝三,基隆市仁愛區孝三路89號91號1樓,,1,1,1,1,,,1,,,,,1,1,1,1,,,,,,,,1,1,1,,,,,1,,,,
"No. 54, No. 54, No. 54, Zhongsan Road, Renai District, Keelung City",基隆市,仁愛區,忠三,基隆市仁愛區忠三路52之1號54號1樓,,,1,1,1,,,1,,,,,1,,,,,,,,,,,1,1,1,,,,,1,,,,
"1st Floor, No. 60, Renwi Road, Renai District, Keelung City",基隆市,仁愛區,崁頂,基隆市仁愛區仁四路60號62號1樓,,1,1,1,1,,,,,,,,1,,1,,,,,,,,,1,1,1,,,,,1,,,,
"No. 236, Ren Er Road, Renai District, Keelung City",基隆市,仁愛區,基隆,基隆市仁愛區仁二路236號,,,1,,,,,,,,,1,,1,1,,,,,,,,,1,1,1,,,,,,,,,
"1st Floor, No. 5, Hong Kong West Street, Renai District, Keelung City",基隆市,仁愛區,基隆南站,基隆市仁愛區港西街5號1樓,,,1,1,,,,,,,,,1,1,1,,,,,,,,,,1,1,1,,,,,,,,
"1st Floor, No. 23 Xiaosi Road, Renai District, Keelung City",基隆市,仁愛區,港隆,基隆市仁愛區孝四路23號1樓,,,1,1,,,,,,,,,1,1,,,,,,,,,,,1,1,,,,,1,,,,
"1st Floor, Ren Road, Renai District, Keelung City",基隆市,仁愛區,愛六,基隆市仁愛區仁一路281號1樓,,,,,1,,,,,,,1,1,1,1,,,,,1,1,1,1,1,1,,,1,,1,1,1,1,,1
"No. 65 Ai Er Road, Ren'ai District, Keelung City",基隆市,仁愛區,愛鑫,基隆市仁愛區愛二路65號,,,1,1,1,,,,,,,,1,1,1,1,,,,,,,,1,1,1,,,,,1,,,,
"1st Floor, No. 11, Ren Er Road, Renai District, Keelung City",基隆市,仁愛區,新仁二,基隆市仁愛區仁二路11號13號1樓,,1,1,1,,,,,,,,,1,1,1,,,,,,,1,,1,1,,,1,,,1,,1,,
"No. 117, No. 115, Chengyi Road, Ren'ai District, Keelung City",基隆市,仁愛區,新華成,基隆市仁愛區成功一路115號117號,,1,1,1,1,,,,,,,,1,,,,,,,,,,,1,1,1,,1,,,1,,,,
"1st Floor, No. 86, Ren Er Road, Renai District, Keelung City",基隆市,仁愛區,新福成,基隆市仁愛區仁二路84號86號1樓,,1,1,1,1,,,1,,1,,,1,,1,,,,,,,,,1,1,1,,,,,1,,,,
"1st Floor, No. 228, Ren Er Road, Renai District, Keelung City",基隆市,仁愛區,新廟口,基隆市仁愛區仁二路228號1樓,,,1,1,1,,,,,,,,1,1,,,,,,,,,,,1,1,,,,,1,,,,
"1st Floor, No. 10, Lane 54, Ren 3rd Road, Renai District, Keelung City",基隆市,仁愛區,極上,基隆市仁愛區仁三路66號愛二路54巷10號1樓,,1,1,1,,,,,,,,,1,,1,,,,,,,,,1,1,1,,,,,1,,,,
"1,1st floor, No. 21, Ren San Road, Renai District, Keelung City",基隆市,仁愛區,極品,"基隆市仁愛區仁三路19號21號1,2樓",,1,1,1,1,1,,1,,,,,1,,,,,,,,,,,1,1,1,,,,,1,,,,
"1st Floor, No. 211, Ren Er Road, Renai District, Keelung City",基隆市,仁愛區,極緻,基隆市仁愛區仁二路211號1樓,,,1,1,,,,,,,,,1,1,1,,,,,,,,,,1,,,,,,1,,,,
"1st Floor, No. 187 Nanrong Road, Renai District, Keelung City",基隆市,仁愛區,慶龍,基隆市仁愛區南榮路187號1樓,,,1,1,1,,,,,,,,1,,,,,,,,,,,1,1,1,,,,,,,,,
"69 Dongming Road, Xinyi District, Keelung City",基隆市,信義區,坤海,基隆市信義區東明路69號,,,1,1,1,,,,,1,,,1,1,1,1,,,,,,,,1,1,1,,1,,,1,,1,,1
"No. 183, No. 183 Dongming Road, Xinyi District, Keelung City",基隆市,信義區,東明,基隆市信義區東明路181號183號1樓,,1,1,1,,,,,,,1,,1,,1,,,1,,,,1,,,1,1,,,,,1,,1,,
"No. 245, Xinwi Road, Xinyi District, Keelung City",基隆市,信義區,杰昕,基隆市信義區信二路243號245號,,,1,1,1,,,1,,,,,1,,1,,,,,,,,,1,1,,,,,,1,,,,
"No. 167, Xinyi Road, Xinyi District, Keelung City",基隆市,信義區,信二,基隆市信義區信二路167號,,,1,1,1,,,1,,,,,1,1,1,,,,,,,,,1,1,1,,1,,,1,,,,
"No. 1 Floor, No. 28, Chu Xiaoli Street, Xinyi District, Keelung City",基隆市,信義區,美的,基隆市信義區教孝街28號1樓,,1,1,1,,,,,,,,,1,,,,,,,,,,,,1,1,,,,,1,,,,
"No. 268, Xinyi Road, Xinyi District, Keelung City",基隆市,信義區,基醫,基隆市信義區信二路268號1樓,,,,,,,,,,,,,1,,1,,,,,,,,,1,1,1,,1,,,1,,,,
"No. 212-4,214, Dongxin Road, Xinyi District, Keelung City",基隆市,信義區,崇信,"基隆市信義區東信路212-4,214號1F",,,1,1,1,,,1,,,,,1,,,1,,,,,,,,1,1,1,,,,,1,,,,
"No. 196 Shenmei Street, Xinyi District, Keelung City",基隆市,信義區,深美,基隆市信義區深美街196號,1,1,1,1,1,,,,,1,,,1,1,1,,,,,,,,,1,1,1,,1,,1,1,,1,,
"1st floor, No. 129, Shen'aokeng Road, Xinyi District, Keelung City",基隆市,信義區,深瑞,基隆市信義區深澳坑路129號1樓,,1,1,1,,,,,,,,,1,1,1,,,,,1,,,,,1,,,,,,1,,1,,
"No. 2-7, No. 2-7, Shen'aokeng Road, Xinyi District, Keelung City",基隆市,信義區,深澳坑,基隆市信義區深澳坑路2-6號2-7號,,1,1,1,1,,1,1,,,,,1,,,1,,,,,,,,1,1,1,,,,,1,,,,
"1st floor, No. 45, Shenxi Road, Xinyi District, Keelung City",基隆市,信義區,新福樂,基隆市信義區深溪路43號45號1樓,,1,1,1,1,,,,,,,,1,1,1,1,,,,,,,,1,1,1,,,,1,1,,,,
"No. 30, No. 30, No. 166, Shen'aokeng Road, Xinyi District, Keelung City",基隆市,信義區,滿福,基隆市信義區深澳坑路166之30號1樓,,1,1,1,1,,,,,,,,1,,1,1,,,,,,1,,1,1,1,,,,,1,1,1,1,
"No. 52, Dongxin Road, Xinyi District, Keelung City",基隆市,信義區,德信,基隆市信義區東信路50號52號,,,1,,1,,,1,,,,,1,,1,,,,,,,,,1,1,,,,,,1,,,,
"No. 168, Dunhua North Road, Songshan District, Taipei City",台北市,松山區,上弘,台北市松山區敦化北路168號B2,,,1,1,1,,,1,,,,,1,,1,,,,,,,,,1,1,,,,,,1,,,,
"1st Floor, No. 2, Section 4, Nanjing East Road, Songshan District, Taipei City",台北市,松山區,小巨蛋,台北市松山區南京東路四段2號1樓,,,1,1,,,,,,,,,1,,1,,,,,,,,,1,1,1,,,,,1,,,,
"No. 27, section 37, Baide Road, Songshan District, Taipei City",台北市,松山區,中崙,台北市松山區八德路三段27號,,,1,1,1,,,1,,,1,,1,,1,,,,,,,,,1,1,,,,,,1,,,,
"66 Beining Road, Songshan District, Taipei City",台北市,松山區,北體,台北市松山區北寧路66號,,1,1,1,1,,,1,,,,,1,,,,,,,,,,,1,,1,,,,,1,,,,
"No. 20-2, Section 3, Bade Road, Songshan District, Taipei City",台北市,松山區,台場,台北市松山區八德路三段20-2號,,1,1,1,1,,,1,,,,1,1,1,1,1,,,1,1,,1,1,1,1,1,1,1,,1,1,,,,
"No. 105, No. 105, Citizen Road, Songshan District, Taipei City",台北市,松山區,市大,台北市松山區市民大道路四段105號,,,1,,1,,,1,,,,,1,,1,,,,,,,,,1,,,,,,,,,,,
"No. 108, Section 3, Minquan East Road, Songshan District, Taipei City",台北市,松山區,民有,台北市松山區民權東路三段108號,,,1,1,1,,,1,,,,,1,1,1,,,,,,,,,1,1,1,,1,,,,,,,
"No. 130, section No. 130, Minsheng East Road, Songshan District, Taipei City",台北市,松山區,民復,台北市松山區民生東路四段130號,,1,1,1,1,,,1,,,,,1,,,,,,,,,,,1,1,,,,,,1,,,,
"1st floor, No. 27-1, Yanji Street, Songshan District, Taipei City",台北市,松山區,吉仁,台北市松山區延吉街27-1號1樓,,,1,1,1,,,1,,,,1,1,,1,,,,,,,,,1,1,1,,,,,1,,,,
"1st Floor, No. 1, No. 3, Lane 66, Section 5, Songshan District, Songshan District, Taipei City",台北市,松山區,吉盛,台北市松山區南京東路五段66巷3弄1號1樓,,1,1,1,1,,,1,,,,,1,1,1,,,,,,,,,1,1,1,,,,1,1,,,,
"No. 31, No. 52 Lane, Lane 245, Section 4, Bade Road, Songshan District, Taipei City",台北市,松山區,吉祥,台北市松山區八德路四段245巷52弄31號,,1,1,1,,,,,,,,,1,1,1,,,,,,,,,1,1,1,,,,,1,,,,
"No. 68 Lane 68, No. 68, Ning'an Street No. 68, No. 68, Section 4, Nanjing East Road, Songshan District, Taipei City",台北市,松山區,京育,台北市松山區南京東路四段66號寧安街68巷25號,,1,1,1,,,,1,,,,,1,1,1,,,,1,,,,,1,1,1,,,,1,1,,,,
"No. 231, No. 231, No. 231, Section 5, Nanjing East Road, Songshan District, Taipei City",台北市,松山區,京佳,台北市松山區南京東路五段229號231號1樓,,1,1,1,,,,,,,,,1,,1,,,,,,,,,,1,1,,,,,1,,,,
"1st Floor, No. 16, Section 5, Nanjing East Road, Songshan District, Taipei City",台北市,松山區,京東,台北市松山區南京東路五段16號1樓,,,1,1,,,,,,,1,,1,,1,1,,,,,,,,1,1,,,,,,1,,,,
"No. 2, No. 75, No. 75, Section 4, Songshan District, Songshan District, Taipei City",台北市,松山區,京城,台北市松山區南京東路四段75之2號1樓,,,1,1,,,,,,,,,1,,1,,,,,,,,,1,1,1,,,,,1,,,,
"No. 44 Lane 11, Guangfu North Road, Songshan District, Taipei City",台北市,松山區,京復,台北市松山區光復北路11巷44號,,1,1,1,1,,,1,,,,1,1,,1,,,,,,,1,,1,1,1,,1,,1,1,,,,1
"No. 4 and No. 8, No. 4 and 139, Section 5, Nanjing East Road, Songshan District, Taipei City",台北市,松山區,京發,台北市松山區南京東路五段139之4及139之8號,,1,1,1,1,,1,1,,1,,,1,,,,,,,,,,,1,1,1,,,,,1,,,,
"1st Floor, No. 262, Section 3, Nanjing East Road, Songshan District, Taipei City",台北市,松山區,京運,台北市松山區南京東路三段262號1樓,,1,1,1,,,,,,,,,1,1,1,,,,,,,,,,1,1,,1,,1,1,,,,
"No. 4, No. 4, No. 4, Lane 291, No. 291, Songshan District, Songshan District, Taipei City",台北市,松山區,京寶,台北市松山區南京東路五段291巷4之1號4之2號,,,1,1,,,,,,,,,1,1,1,,,,,,,,,,1,,,,,,1,,,,
"No. 99, Yanshou Street, Songshan District, Taipei City",台北市,松山區,延新,台北市松山區延壽街99號1樓,,,1,,1,,,1,,,,,1,,,,,,,,,,,1,,,,,,,1,,,,
"No. 422, Yanshou Street, Songshan District, Taipei City",台北市,松山區,延壽,台北市松山區延壽街422號,,1,1,1,1,,,1,,,,,1,,,,,,,,,,,1,1,,,,,,1,,,,
"No. 1, Lane 15, Xindong Street, Songshan District, Taipei City",台北市,松山區,征東,台北市松山區新東街15巷1號,,,1,1,1,,,1,,,,,1,,,,,,,,,,,1,1,1,,,,,1,,,,
"No. 41-7, Xindong Street, Songshan District, Taipei City",台北市,松山區,征唐,台北市松山區新東街41-7號,,1,1,1,1,,,1,,,,,1,,,1,,,,,,,,1,1,1,,,,,1,,,,
"No. 54, No. 54, No. 54, Minsheng East Road, Songshan District, Taipei City",台北市,松山區,明塑,台北市松山區民生東路四段54號之2一樓,,,,,1,,,1,,1,,,1,,1,,,,,,,,,1,,,,,,,1,,,,
"No. 15, No. 15, Section 15, Nanjing East Road, Songshan District, Taipei City",台北市,松山區,東光,台北市松山區南京東路五段15號1樓,,1,1,1,1,,,1,,1,,,1,,1,,,,,,,,,1,1,1,,,,,1,,1,,
"No. 100, No. 100, Minsheng East Road, Songshan District, Taipei City",台北市,松山區,東吉,台北市松山區民生東路五段100號,,,1,1,1,,1,1,,1,,,1,1,1,1,,,,,,1,,1,1,1,,1,,1,1,1,1,1,
"No. 25, Lane 313, Fuxing North Road, Songshan District, Taipei City",台北市,松山區,東復,台北市松山區復興北路313巷25號,,1,1,1,1,,,1,,1,,,1,,1,1,,,,,,,,1,1,1,,,,,1,,,,
"No. 1, No. 6, Lane 133, Section No. 133, Nanjing East Road, Songshan District, Taipei City",台北市,松山區,東勢,台北市松山區南京東路四段133巷6弄1號,,,1,,1,,,1,,,,,1,,1,,,,,,,,,1,1,1,,,,,1,,,,
"No. 65, Section 5, Minsheng East Road, Songshan District, Taipei City",台北市,松山區,東榮,台北市松山區民生東路五段65號,,,1,,1,,,1,,,,,1,,1,,,,,,,,,1,,1,,,,,1,,,,
"No. 10, Lane 55, Section 4, Minsheng East Road, Songshan District, Taipei City",台北市,松山區,東鑫,台北市松山區民生東路四段55巷10號,,,1,1,1,,,1,,,,,1,,1,,,,,,,,,1,1,1,,,,,1,,,,
"No. 10 Sanmin Road, Songshan District, Taipei City",台北市,松山區,松民,台北市松山區三民路10號,,,1,1,1,,,1,,,,,1,1,1,,,,,,,,,1,1,1,,,,1,1,,,,
"No. 33, Tatong Road, Songshan District, Taipei City",台北市,松山區,松禾,台北市松山區塔悠路31號33號,,1,1,1,1,,,1,,1,1,,1,,1,,,1,,,,1,,1,1,1,,1,,,1,,,,
"No. 90, Raohe Street, Songshan District, Taipei City",台北市,松山區,松祐,台北市松山區饒河街90號1樓,,1,1,,,,,,,,,,1,,1,,,,,,,,,,1,1,,,,,1,,,,
"340-9, Dunhua North Road, Songshan District, Taipei City",台北市,松山區,松航,台北市松山區敦化北路340-9號,,,,,1,1,,1,,,,,1,1,1,,,,,1,,,,1,1,,,,,,,,,,
"1st Floor, No. 755, Section 4, Baide Road, Songshan District, Taipei City",台北市,松山區,松德,台北市松山區八德路四段755號1樓,,,1,1,,,,,,,,,1,1,1,,,,,,,,,,1,1,,,,,1,,1,1,
